dataset;estructura_de_datos;clave;cantidad_consultas;promedio_tiempo_us;desviacion_estandar_us;n_repeticiones
auspol2019;ClosedHash_Double;user_id;10000;94.15;1.31;20
auspol2019;ClosedHash_Double;user_id;20000;214.75;10.03;20
auspol2019;ClosedHash_Double;user_id;30000;335.00;12.56;20
auspol2019;ClosedHash_Double;user_id;40000;453.95;17.31;20
auspol2019;ClosedHash_Double;user_id;50000;572.30;22.34;20
auspol2019;ClosedHash_Double;user_id;60000;685.15;27.64;20
auspol2019;ClosedHash_Double;user_id;70000;784.20;32.53;20
auspol2019;ClosedHash_Double;user_id;80000;876.20;36.11;20
auspol2019;ClosedHash_Double;user_id;90000;964.95;39.29;20
auspol2019;ClosedHash_Double;user_id;100000;1048.70;41.31;20
auspol2019;ClosedHash_Double;user_id;110000;1178.65;48.47;20
auspol2019;ClosedHash_Double;user_id;120000;1290.50;54.93;20
auspol2019;ClosedHash_Double;user_id;130000;1395.65;59.93;20
auspol2019;ClosedHash_Double;user_id;130449;1403.05;60.40;20
auspol2019;ClosedHash_Double;user_screen_name;10000;870.10;20.04;20
auspol2019;ClosedHash_Double;user_screen_name;20000;1815.40;51.04;20
auspol2019;ClosedHash_Double;user_screen_name;30000;2802.05;106.13;20
auspol2019;ClosedHash_Double;user_screen_name;40000;3812.65;181.37;20
auspol2019;ClosedHash_Double;user_screen_name;50000;4835.10;246.47;20
auspol2019;ClosedHash_Double;user_screen_name;60000;5875.90;304.46;20
auspol2019;ClosedHash_Double;user_screen_name;70000;6860.85;352.93;20
auspol2019;ClosedHash_Double;user_screen_name;80000;7807.00;382.88;20
auspol2019;ClosedHash_Double;user_screen_name;90000;8770.45;411.77;20
auspol2019;ClosedHash_Double;user_screen_name;100000;9703.15;432.29;20
auspol2019;ClosedHash_Double;user_screen_name;110000;10813.55;495.16;20
auspol2019;ClosedHash_Double;user_screen_name;120000;11865.65;533.97;20
auspol2019;ClosedHash_Double;user_screen_name;130000;12871.90;565.68;20
auspol2019;ClosedHash_Double;user_screen_name;130449;12930.15;566.06;20
auspol2019;ClosedHash_Linear;user_id;10000;91.65;2.70;20
auspol2019;ClosedHash_Linear;user_id;20000;209.25;14.88;20
auspol2019;ClosedHash_Linear;user_id;30000;321.05;15.93;20
auspol2019;ClosedHash_Linear;user_id;40000;430.30;17.83;20
auspol2019;ClosedHash_Linear;user_id;50000;538.60;21.39;20
auspol2019;ClosedHash_Linear;user_id;60000;640.70;24.83;20
auspol2019;ClosedHash_Linear;user_id;70000;732.00;32.61;20
auspol2019;ClosedHash_Linear;user_id;80000;815.20;35.16;20
auspol2019;ClosedHash_Linear;user_id;90000;898.80;38.16;20
auspol2019;ClosedHash_Linear;user_id;100000;981.65;39.23;20
auspol2019;ClosedHash_Linear;user_id;110000;1107.45;47.42;20
auspol2019;ClosedHash_Linear;user_id;120000;1216.50;56.89;20
auspol2019;ClosedHash_Linear;user_id;130000;1317.85;65.97;20
auspol2019;ClosedHash_Linear;user_id;130449;1329.80;73.08;20
auspol2019;ClosedHash_Linear;user_screen_name;10000;906.60;71.77;20
auspol2019;ClosedHash_Linear;user_screen_name;20000;1888.15;149.67;20
auspol2019;ClosedHash_Linear;user_screen_name;30000;2877.75;224.33;20
auspol2019;ClosedHash_Linear;user_screen_name;40000;3878.85;294.23;20
auspol2019;ClosedHash_Linear;user_screen_name;50000;4870.15;360.74;20
auspol2019;ClosedHash_Linear;user_screen_name;60000;5855.15;413.43;20
auspol2019;ClosedHash_Linear;user_screen_name;70000;6782.15;444.10;20
auspol2019;ClosedHash_Linear;user_screen_name;80000;7676.75;462.05;20
auspol2019;ClosedHash_Linear;user_screen_name;90000;8579.50;478.09;20
auspol2019;ClosedHash_Linear;user_screen_name;100000;9464.50;478.60;20
auspol2019;ClosedHash_Linear;user_screen_name;110000;10524.50;507.60;20
auspol2019;ClosedHash_Linear;user_screen_name;120000;11508.40;537.93;20
auspol2019;ClosedHash_Linear;user_screen_name;130000;12450.10;564.90;20
auspol2019;ClosedHash_Linear;user_screen_name;130449;12499.55;567.08;20
auspol2019;ClosedHash_Quad;user_id;10000;94.05;6.42;20
auspol2019;ClosedHash_Quad;user_id;20000;207.95;6.75;20
auspol2019;ClosedHash_Quad;user_id;30000;323.95;15.29;20
auspol2019;ClosedHash_Quad;user_id;40000;435.50;16.67;20
auspol2019;ClosedHash_Quad;user_id;50000;546.25;18.52;20
auspol2019;ClosedHash_Quad;user_id;60000;652.90;26.58;20
auspol2019;ClosedHash_Quad;user_id;70000;742.95;28.24;20
auspol2019;ClosedHash_Quad;user_id;80000;825.35;30.05;20
auspol2019;ClosedHash_Quad;user_id;90000;911.25;31.17;20
auspol2019;ClosedHash_Quad;user_id;100000;989.55;32.81;20
auspol2019;ClosedHash_Quad;user_id;110000;1112.05;42.03;20
auspol2019;ClosedHash_Quad;user_id;120000;1221.70;66.37;20
auspol2019;ClosedHash_Quad;user_id;130000;1323.20;79.49;20
auspol2019;ClosedHash_Quad;user_id;130449;1330.35;80.66;20
auspol2019;ClosedHash_Quad;user_screen_name;10000;865.60;21.79;20
auspol2019;ClosedHash_Quad;user_screen_name;20000;1802.25;67.83;20
auspol2019;ClosedHash_Quad;user_screen_name;30000;2763.85;141.76;20
auspol2019;ClosedHash_Quad;user_screen_name;40000;3734.30;212.63;20
auspol2019;ClosedHash_Quad;user_screen_name;50000;4704.75;275.54;20
auspol2019;ClosedHash_Quad;user_screen_name;60000;5675.30;335.87;20
auspol2019;ClosedHash_Quad;user_screen_name;70000;6600.80;375.57;20
auspol2019;ClosedHash_Quad;user_screen_name;80000;7499.05;404.17;20
auspol2019;ClosedHash_Quad;user_screen_name;90000;8404.60;431.06;20
auspol2019;ClosedHash_Quad;user_screen_name;100000;9291.95;448.28;20
auspol2019;ClosedHash_Quad;user_screen_name;110000;10313.45;521.40;20
auspol2019;ClosedHash_Quad;user_screen_name;120000;11276.75;569.31;20
auspol2019;ClosedHash_Quad;user_screen_name;130000;12202.80;604.99;20
auspol2019;ClosedHash_Quad;user_screen_name;130449;12250.80;607.85;20
auspol2019;OpenHash;user_id;10000;374.60;18.16;20
auspol2019;OpenHash;user_id;20000;728.50;39.86;20
auspol2019;OpenHash;user_id;30000;999.40;57.15;20
auspol2019;OpenHash;user_id;40000;1283.20;76.21;20
auspol2019;OpenHash;user_id;50000;1550.35;97.56;20
auspol2019;OpenHash;user_id;60000;1795.70;119.21;20
auspol2019;OpenHash;user_id;70000;1977.05;138.54;20
auspol2019;OpenHash;user_id;80000;2135.65;152.35;20
auspol2019;OpenHash;user_id;90000;2269.75;164.24;20
auspol2019;OpenHash;user_id;100000;2410.45;173.61;20
auspol2019;OpenHash;user_id;110000;2707.25;191.60;20
auspol2019;OpenHash;user_id;120000;2954.50;211.73;20
auspol2019;OpenHash;user_id;130000;3154.80;221.80;20
auspol2019;OpenHash;user_id;130449;3169.40;223.05;20
auspol2019;OpenHash;user_screen_name;10000;1275.10;54.37;20
auspol2019;OpenHash;user_screen_name;20000;2502.30;126.71;20
auspol2019;OpenHash;user_screen_name;30000;3674.90;182.80;20
auspol2019;OpenHash;user_screen_name;40000;4850.05;232.71;20
auspol2019;OpenHash;user_screen_name;50000;5994.55;280.58;20
auspol2019;OpenHash;user_screen_name;60000;7176.60;327.47;20
auspol2019;OpenHash;user_screen_name;70000;8201.00;370.06;20
auspol2019;OpenHash;user_screen_name;80000;9207.25;401.16;20
auspol2019;OpenHash;user_screen_name;90000;10169.35;434.11;20
auspol2019;OpenHash;user_screen_name;100000;11141.10;475.81;20
auspol2019;OpenHash;user_screen_name;110000;12428.55;558.88;20
auspol2019;OpenHash;user_screen_name;120000;13582.45;634.79;20
auspol2019;OpenHash;user_screen_name;130000;14680.15;687.78;20
auspol2019;OpenHash;user_screen_name;130449;14741.55;690.98;20
auspol2019;STL_UnorderedMap;user_id;10000;643.55;49.21;20
auspol2019;STL_UnorderedMap;user_id;20000;1214.50;63.05;20
auspol2019;STL_UnorderedMap;user_id;30000;1554.65;61.22;20
auspol2019;STL_UnorderedMap;user_id;40000;1960.70;106.20;20
auspol2019;STL_UnorderedMap;user_id;50000;2535.85;122.06;20
auspol2019;STL_UnorderedMap;user_id;60000;2857.70;127.03;20
auspol2019;STL_UnorderedMap;user_id;70000;3088.80;128.45;20
auspol2019;STL_UnorderedMap;user_id;80000;3316.65;130.46;20
auspol2019;STL_UnorderedMap;user_id;90000;3531.45;129.25;20
auspol2019;STL_UnorderedMap;user_id;100000;3744.00;129.29;20
auspol2019;STL_UnorderedMap;user_id;110000;4093.05;129.86;20
auspol2019;STL_UnorderedMap;user_id;120000;4386.50;131.25;20
auspol2019;STL_UnorderedMap;user_id;130000;4681.05;129.53;20
auspol2019;STL_UnorderedMap;user_id;130449;4699.10;129.34;20
auspol2019;STL_UnorderedMap;user_screen_name;10000;937.40;13.76;20
auspol2019;STL_UnorderedMap;user_screen_name;20000;1817.25;28.50;20
auspol2019;STL_UnorderedMap;user_screen_name;30000;2449.85;46.63;20
auspol2019;STL_UnorderedMap;user_screen_name;40000;3099.45;66.53;20
auspol2019;STL_UnorderedMap;user_screen_name;50000;3956.25;91.68;20
auspol2019;STL_UnorderedMap;user_screen_name;60000;4551.65;98.00;20
auspol2019;STL_UnorderedMap;user_screen_name;70000;5015.80;103.92;20
auspol2019;STL_UnorderedMap;user_screen_name;80000;5493.75;112.64;20
auspol2019;STL_UnorderedMap;user_screen_name;90000;5938.15;145.36;20
auspol2019;STL_UnorderedMap;user_screen_name;100000;6402.65;194.30;20
auspol2019;STL_UnorderedMap;user_screen_name;110000;7057.50;271.06;20
auspol2019;STL_UnorderedMap;user_screen_name;120000;7643.90;321.69;20
auspol2019;STL_UnorderedMap;user_screen_name;130000;8197.80;324.71;20
auspol2019;STL_UnorderedMap;user_screen_name;130449;8228.65;325.15;20
